QUARTER,City,City,latitude,longitude,name,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020
"Ecuador, Guayaquil",Guayaquil,Guayaquil,-2.247865,-79.903534,Guayaquil,16.0491099,15.66247424,15.59619327,15.99986128,16.53279903,15.54222287,14.95615599,14.91752677,14.15636069,15.32849336,17.01086397,18.4900052,18.65651698,19.96812766,20.85235368,20.96043932,21.06883055,20.80609678,23.67228888,26.08377906,26.54450378,29.77061828,29.17613036,26.12275555,21.53403035,20.69660795,21.99940733,21.45396027,22.86446246,22.74402823,23.02161383,22.72848084,20.51762946,23.24400038,22.43476853,22.46145309,22.48157733,23.3384115,30.53749541,30.5973521,31.5115681,31.47527048,31.03611023,30.65317719,30.98640306,32.52247723,32.61801432,32.9129296,32.93030931,25.90271623,24.3955438,25.55068873,33.67581003,33.69375322,32.88456589,32.7366142,38.95760524,39.2841627,38.97989072
"Ghana, Tema",Tema,Tema,5.659887,-0.010091,Tema,14.27197648,14.04576795,15.2648388,15.25043318,16.04279019,15.50743153,14.86530824,14.9256476,14.98141535,15.41012711,18.072594,17.2876628,16.82454933,17.20233114,18.41281571,18.48749292,19.08497457,19.3130685,20.05161869,19.56089625,20.05778842,19.26890994,20.46109532,19.18032164,18.44047742,17.09098525,17.34882942,17.776332,17.84994542,18.09099205,18.95706652,19.14315422,19.28876139,19.58014643,19.98642899,20.61350057,20.26919177,20.9262917,21.78746399,21.75233788,20.58360445,19.38806532,19.59855014,19.41187916,19.90358014,18.84438249,19.04034841,18.13331936,18.18411959,18.16006811,18.71723342,18.65607147,18.40987581,18.36048073,18.58084601,34.7648093,34.95028503,37.29723915,38.4937508
"Panama, Manzanillo (PA)",Manzanillo (PA),Manzanillo ,9.303786,-79.907791,Manzanillo,20.47524102,20.18472017,20.46336241,20.92456688,20.61139897,20.28925209,20.97686761,20.70015364,20.63324147,21.99603144,22.83584364,23.75374557,23.03189643,23.19751426,23.77537374,23.3160785,24.02636906,23.16403159,23.03802715,23.64969185,25.07406659,24.84487245,24.13847336,26.14431984,25.71634815,26.08283888,26.63499234,26.14667904,26.00786217,26.67897458,27.57605312,27.81485973,26.92236073,26.52690162,25.97092801,26.32139543,25.94751775,25.9816106,26.64043297,27.37425089,26.51847089,26.35322563,34.61674221,34.23788067,36.62565816,34.82815453,35.72744446,36.75605756,36.93341777,38.05104433,37.02289547,37.22896628,37.86072685,38.56408194,39.10639378,38.78384807,36.96102533,38.49845461,38.06208694
"Mexico, Manzanillo (MX)",Manzanillo (MX),Manzanillo ,19.050626,-104.315996,Manzanillo,17.76706501,17.84440736,17.84911146,17.53252459,17.59391191,17.7072112,17.72752073,17.59687395,17.91100786,18.233385,19.3382509,18.64013495,18.79730462,19.65642715,17.31282832,17.49820569,19.1187748,20.48226049,20.90508943,22.45697828,23.03428953,27.34605529,27.37071088,28.66796149,27.54823993,27.02081005,27.86261748,28.28988068,28.73226061,29.57327749,31.15402663,30.83537534,29.92183464,30.34656879,31.15018773,30.66376077,30.68239098,30.82600695,30.68357235,36.91046439,36.21006115,36.24868762,36.21035054,35.82198193,35.83156381,35.86625545,35.87568623,35.5228572,35.54292321,35.29241484,35.39966873,35.4264674,35.40234817,35.33722261,35.31041567,37.79052605,37.88582207,37.86676925,37.41087887
"Japan, Osaka",Osaka,Osaka,34.685293,135.514694,Osaka,40.50770238,43.41915895,42.63447822,42.23328313,42.54882289,42.68022787,42.83035001,43.14969463,42.19799482,41.76333984,40.99049719,39.74553982,41.48017691,39.83566334,38.43124499,39.33011557,38.08458796,36.82183297,37.48492202,35.92253262,36.19803999,37.11307577,37.19519135,34.19427411,38.43558806,37.97324088,37.38859679,39.30814708,38.94306052,37.61541759,37.84485026,38.21760907,37.57785216,43.73468312,37.97093655,37.94920501,37.6677795,35.75241975,35.27061155,34.9388368,35.2493934,35.04720452,34.16477063,33.46740744,32.98086368,32.01989521,32.43223323,32.44777882,34.74795488,34.84340782,34.72456375,34.75788969,34.6251803,34.856207,39.18682562,34.79399825,34.38584827,36.24754525,37.24675453
"United States of America, Houston",Houston,Houston,29.760803,-95.369506,Houston,33.59436769,33.44487116,33.96859684,33.58306089,32.54853875,32.91981792,32.75682099,32.14675265,31.52947285,31.74547516,31.55941421,31.64410056,30.04188454,30.56905344,31.36643763,30.34272275,31.05807613,30.73988739,31.17516857,31.00517798,31.6543361,34.23891508,31.83429572,31.67297157,31.93774665,34.21634241,31.87031627,34.58184966,31.13132409,34.78519029,32.78186346,32.68434546,33.28415874,35.79869323,35.95781434,33.53105434,32.90157806,33.59109969,33.3675196,33.07065803,32.59783844,33.36667183,33.76281474,32.48444565,32.74784056,34.69595393,34.48643437,34.54998748,35.67061441,35.53757383,36.39403185,37.63954341,37.81364778,36.97985348,37.56493311,38.6251446,38.19341667,38.51996317,37.09336128
"Korea, Republic of, Incheon",Incheon,Incheon,37.466599,126.633301,Incheon,13.02108162,12.91896279,15.25933291,12.67831331,13.23480877,14.20797227,14.18492435,14.68939532,15.65953103,16.29391202,16.45845961,16.72299796,19.26228439,19.2471735,19.18772937,19.34345038,19.24906619,16.63747631,17.35200271,16.8220024,17.4157648,18.692134,17.74598131,18.3568489,16.92032541,17.23975241,17.16528717,17.51395773,21.28990192,18.9472789,18.67959365,17.75471521,19.11333048,19.85430952,19.14891341,20.5060343,21.72354202,21.61901511,22.2158061,22.18815585,22.03229124,23.09609614,28.68765035,33.00651422,29.74811224,29.58654934,30.60882486,30.55323906,29.98255831,29.92337715,30.02729831,33.60322565,33.76997849,34.31694227,33.80966903,33.36060359,33.64327122,36.3517842,36.84037764
"Togo, Lome",Lome,Lome,6.127537,1.226047,Lome,11.58286655,11.25289988,12.211617,11.6447336,11.32459994,11.3275853,11.68141753,10.86861278,11.21783962,10.99016397,11.49438109,11.29321191,11.65699238,13.10903231,15.11365808,14.79804238,14.78431536,15.2939618,15.85951039,13.84713299,15.109976,14.83046776,14.16660976,13.41000208,12.56048002,12.63983675,11.46016979,12.28117153,12.98280361,13.0533083,14.49391731,14.15648098,14.11334293,17.87692301,18.38918856,19.22692316,25.78363411,25.39022477,27.05764697,25.8259871,30.28168435,25.60546917,31.90487035,32.96075514,32.51061363,32.28074089,32.57293273,33.8083383,33.78762468,33.80209795,34.06229071,33.60278558,34.69161533,33.06606741,33.30125618,34.6028463,35.24925799,36.54793645,36.45251775
"Pakistan, Karachi",Karachi,Karachi,24.86678,67.031129,Karachi,19.12169536,18.57445882,19.07470213,19.55280307,20.63509894,21.65861591,21.06680202,20.64244448,23.53539912,24.66070907,24.06250782,23.34874105,23.3063349,22.10912387,22.85742953,25.7155206,25.99712003,28.01549269,28.26834438,28.43074289,29.37090127,26.73273242,26.83523271,25.07130655,22.36078039,21.66228505,22.93253436,23.35178017,23.95295076,25.10860189,25.75185062,25.42639847,25.18023209,22.79224694,23.53836555,24.14004295,23.98224982,24.34266162,24.43080535,23.98414986,29.34527448,29.43353081,29.52732491,28.96930585,27.10828603,27.67023966,29.46208678,31.08032295,31.65829287,30.85473187,31.64151081,31.03529899,30.24866378,32.52551262,31.5499741,30.90917129,36.22266042,36.20521951,36.43317574
"China, Taiwan Province of, Keelung",Keelung,Keelung,25.131695,121.744492,Keelung,36.77374663,37.25924361,36.78462924,35.5040392,35.27119536,35.5456021,35.10736338,34.31383013,34.26779856,34.01401991,33.46116312,32.63650715,32.63856034,29.56655133,30.977554,32.23903858,32.11291978,34.99124427,34.31037094,34.82012136,34.10120653,34.1994349,33.86388823,38.07835882,38.25619155,37.71209717,38.09376816,37.22820436,37.17109224,36.72297102,35.82118799,36.16426651,36.30793797,36.04234172,36.54884588,35.19579364,36.05296226,36.48797442,35.90533885,36.65323922,36.346261,34.69605069,34.16365485,33.51035889,34.88052525,33.94399433,33.84304947,33.86514079,33.93796975,35.19172275,36.69861017,36.57163832,36.42037918,36.68057201,36.10586893,36.10992266,35.86640895,35.93658205,36.09217317
"Canada, Halifax",Halifax,Halifax,53.720917,-1.86745,Halifax,18.90103652,19.75473161,19.95231514,20.53349367,20.41868926,20.35006407,19.89574324,18.99778139,19.04524008,19.52124318,18.38441935,18.3383011,18.35973031,19.62289669,19.4152029,19.41614543,18.67994835,19.55871577,19.78994625,19.87256861,20.66486642,20.09295315,20.51651442,18.46370231,18.56929064,18.38783035,18.56618025,20.14653757,20.14971423,21.64757646,21.83588986,21.81267901,22.0523242,22.44797496,22.63263227,22.63385547,22.63385547,22.57895142,24.95740563,26.13243058,29.9186771,26.48383888,26.29511154,26.29504245,26.28981417,28.37096458,27.83864879,27.84268387,27.63916753,28.42417771,27.54101292,27.36131495,29.15619153,28.96271437,29.36235173,29.36548853,34.78158108,36.09686619,36.08783727
"Israel, Ashdod",Ashdod,Ashdod,31.797731,34.652994,Ashdod,19.51159098,19.88153903,20.26718097,20.2379002,20.82603527,20.79372887,19.63670935,19.25878021,19.29530648,19.19068056,19.20003309,19.54828833,20.12349586,23.18957489,22.25468962,22.101346,23.58872273,24.3118046,24.14178448,24.5148355,24.64057016,24.62492854,24.25717184,23.55350532,28.81330066,28.88010678,29.38427751,29.93548114,29.91861461,30.33843649,29.57895415,28.78865556,28.6246694,28.6751193,29.09832897,28.89245901,29.15178821,28.9925898,28.49391695,28.26783318,28.7048994,30.88096501,30.5302595,30.87961566,30.91860669,38.44151245,37.26560488,36.90149242,37.25692727,37.22166804,36.43478307,36.83355842,37.3601853,37.03532014,36.07434763,36.35574636,35.71135105,35.95820131,35.91303069
"Brazil, Santos",Santos,Santos,-23.960833,-46.333889,Santos,31.09638676,31.40484642,30.59391406,30.85764669,31.14609552,31.17080138,31.07583288,31.23644323,33.7952931,32.72694482,33.18432034,33.82149847,33.01623124,31.43848476,31.49676064,30.32652762,29.76758783,30.23532486,30.34466251,32.05247606,31.88830141,33.62614945,34.03331491,33.48650212,32.78748259,34.22535154,34.37304374,33.30394709,32.84395291,33.62254052,35.0347902,35.17360955,34.00174469,36.34824876,36.07932447,36.00218046,35.43057413,35.18008328,35.45207591,34.46272146,35.02111326,35.0345209,34.6282536,33.82565342,33.40922491,34.44716465,34.9272217,34.33498689,34.67753666,34.84237776,35.13452805,34.67372197,33.97240363,35.61131936,35.83814864,35.71961068,35.8274549,36.52669015,35.78597704
"Canada, Vancouver (CA)",Vancouver (CA),Vancouver ,49.263566,-123.138572,Vancouver,24.49189545,25.86376355,23.5795102,23.18396932,22.66831079,23.23022093,23.1368093,24.16869324,24.1660886,27.75488207,25.81792957,27.52321818,28.53565529,28.69523247,29.41094486,29.33672245,29.27625011,29.36944601,29.87532776,29.88564387,28.82666288,28.76468086,28.08611294,27.14820574,26.98304198,26.2121192,27.46350721,28.82372771,27.48174914,28.20467514,31.36797231,31.23215377,30.89661809,31.01983009,31.13177636,31.21594685,31.37723112,30.79987472,30.9004597,36.60649707,32.32246224,30.93956157,31.08095638,30.92617791,30.96292646,37.08663406,37.2372642,37.1343558,36.82920937,36.85400224,36.22080372,37.35850701,37.6530411,32.75593111,32.81904556,32.83030919,35.86284752,36.51166578,35.08285383
"China, Fuqing",Fuqing,Fuqing,25.72323,119.374055,Fuqing,6.324909414,5.777490195,7.604044943,7.805827792,7.985083113,7.985083113,7.803738527,7.370695664,8.231576838,2.184686799,2.184686799,5.401698766,1.843936579,2.911081506,2.911081506,1.843936579,1.843936579,1.843936579,2.137182418,2.137182418,2.137182418,2.137182418,2.137182418,9.021226707,22.18919414,9.078212013,9.078212013,9.170668173,8.653169084,1.824191362,1.824191362,10.09850912,10.09850912,10.02625538,10.20404761,9.939134557,9.939134557,9.939422551,1.748082271,2.063272554,1.748082271,1.748082271,1.748082271,10.35961469,10.35869834,30.22912211,30.22535201,31.13561202,31.13584984,31.31516631,31.37030232,30.3422449,30.47917257,30.2938316,30.49097845,30.48115449,30.15667107,29.63008092,35.0375446
"Indonesia, Jakarta",Jakarta,Jakarta,-6.181015,106.828335,Jakarta,31.46434603,32.89144994,31.63210627,30.88909893,32.37319132,32.92949205,31.93811727,33.15074702,33.30578382,33.04151204,33.93806624,34.50771209,35.93990745,33.82094569,32.57353319,32.78812922,33.73674741,32.23304049,33.63180034,35.05510699,34.63123047,34.94616196,33.92584086,32.37412525,33.77709213,33.40945216,32.53859997,32.90713704,33.39748946,34.18968203,33.66408695,34.01121391,33.6862748,32.99629162,32.50069706,33.85562165,34.19147234,34.02839533,35.06974338,33.00905634,32.82619805,33.46252305,32.87531305,32.48499794,32.30463816,41.45247902,43.15771744,43.73711388,43.10455884,45.11754904,43.54041795,42.35588242,44.84002486,44.86253856,44.608827,44.89541515,50.64479913,35.38899403,35.01319845
"Slovenia, Koper",Koper,Koper,45.547955,13.730491,Koper,13.85038591,12.54984479,12.91859126,13.60658411,13.56092605,14.41369993,13.61210767,13.82351904,16.74730097,16.77506287,16.52677672,16.63943232,16.02743669,18.33722446,18.40994869,18.53693424,18.7211291,18.72542282,20.01573869,19.64542701,19.89788384,19.68454426,20.10374711,19.9357704,18.87155737,20.43116409,20.58554041,20.60932861,20.5286166,20.3977974,21.60277062,21.68433426,21.52155283,22.73139191,22.79082501,23.38942918,25.64941964,25.88180646,25.96984017,29.61655177,29.95883514,29.03774776,28.59411122,32.24841816,31.9954368,32.49784722,33.66961687,31.58651324,31.60868877,31.27210174,31.33022718,31.28355606,30.91793388,35.03813684,35.32340634,35.75240995,35.5720835,35.5602201,34.83363084
"Jordan, Aqaba",Aqaba,Aqaba,29.975096,35.20559,Aqaba,17.02834382,17.29384784,16.48657373,15.997696,16.36119633,18.9655739,18.81453784,18.39156789,17.98078176,17.28444326,16.61767955,17.64117062,18.01396899,22.25653202,22.79842923,22.31280324,17.17888239,21.42497552,21.27489311,21.04541533,21.16085748,23.30072141,23.07860113,22.67111992,22.11586717,19.82333553,19.54947086,19.69567591,19.2685004,19.35486512,18.96350873,18.9733388,18.95703102,21.97924294,22.09830471,22.16220995,22.10623005,22.4478722,25.33223752,25.78719133,25.86114794,25.62228919,31.57704774,24.9262785,30.97287152,25.02138593,25.66557245,25.84589563,29.42992353,34.58491437,33.62616829,34.07374156,33.57537563,33.1153885,33.21726459,33.12352056,33.14886714,33.05625921,34.43492027
"Colombia, Buenaventura",Buenaventura,Buenaventura,40.176602,-4.849876,Buenaventura,15.28413316,15.78937449,15.06157352,14.55346904,14.28042894,14.14517041,14.20687727,14.83151789,14.4558391,13.62221159,16.6067501,16.85842047,17.95398703,17.96911744,18.14545261,18.26883835,18.91288965,17.98015588,20.85117405,22.03955152,21.64385243,24.99372637,24.60590912,21.49023323,21.33727612,23.86983943,23.21502783,23.5162415,23.7707773,24.3496996,24.27825952,23.8987217,21.12252897,26.86420894,27.14047334,27.13923309,27.35626689,27.84696258,29.19978026,35.67078641,34.92398794,34.92560362,35.0702322,34.7480739,34.71836813,34.52710029,34.8156724,34.84810917,34.84982002,35.04827637,33.60906443,32.98260598,33.21694098,33.32315767,32.72209923,34.85864295,34.66296847,34.49715304,34.31970724
"Lebanon, Beirut",Beirut,Beirut,33.89592,35.47843,Beirut,23.86945852,20.95586196,24.03383246,24.43762001,23.89482101,25.18840978,25.652773,25.89394805,26.34950087,21.02807441,24.03547824,24.19419995,23.68965746,27.34958953,28.33835242,28.07619925,27.03951995,26.95294622,27.1121167,27.07355018,28.12965252,31.39204132,36.67212352,36.50051081,34.99634533,35.35275393,35.75579502,35.65779465,35.01152974,35.69681143,36.06341861,35.87544285,35.683024,35.4229753,39.83306007,39.69639299,36.90724207,36.60647935,35.90508563,37.54630056,37.99218151,37.5202999,37.47104517,37.49006785,36.52762948,40.76839877,37.1959297,40.90427121,41.0925322,42.72559763,42.41057604,42.88239809,42.73388296,37.10608518,37.0773348,43.8615059,44.07268169,34.42676741,34.29399819
"Egypt, Damietta",Damietta,Damietta,31.416743,31.821366,Damietta,18.78890828,19.85445006,19.74361725,19.37753739,20.77401876,21.86926466,23.26958186,24.48967088,25.38408276,23.75824644,24.7526713,23.92621929,24.2992788,28.06859538,28.40325889,28.36247578,27.78197629,27.96725835,28.18676271,28.17374885,28.32701482,28.51092117,27.3331937,27.26112483,27.59560751,23.20151319,24.84921426,23.96148328,24.19684541,24.04322174,21.3385922,21.13492376,21.32167881,21.56911485,21.7320361,21.55190446,21.9258818,21.57406703,25.90822596,25.03613128,32.31270257,32.41646805,33.39201942,32.93389428,32.52441037,28.28591664,29.34743573,28.92560339,29.52229171,29.18878844,28.18388134,28.04728188,34.12002762,36.66179259,35.37205063,35.01874553,35.12088327,35.00905419,34.15227272
"Australia, Melbourne",Melbourne,Melbourne,-37.814255,144.963146,Melbourne,24.34894133,24.83203409,24.5987077,24.62153457,25.03023956,25.21958845,25.5956411,26.21685336,26.23620669,27.08555845,27.41488988,26.55698575,27.89792166,26.07769331,25.21409056,25.57055736,25.40570766,25.81294201,26.85064889,27.65815293,27.34541094,26.98585387,27.588207,26.089512,25.88530597,27.53206327,27.60858596,26.27368639,27.64077422,27.04445527,26.61861811,26.57256118,26.49819805,27.96794997,27.97133633,27.73955583,27.53185086,28.14315364,28.38972046,28.73868036,29.22031751,30.64176131,30.06181199,29.83431295,32.5299832,29.70376714,32.20072235,29.66344595,29.65561352,29.43943515,30.77827236,31.08943789,31.14773896,30.71436861,32.6144467,33.22006386,31.63807298,32.01648633,33.9872935
"United States of America, Baltimore",Baltimore,Baltimore,39.290443,-76.612333,Baltimore,16.74300387,17.41237097,17.44699928,17.39730155,16.42958348,16.37129133,16.39556709,16.80011528,18.28714057,16.72467052,18.10833863,18.3653717,18.41849596,18.44440283,22.65683703,22.31227013,25.4921698,25.91237671,25.69455809,25.34356568,25.06277676,24.3893919,25.74046601,24.94851316,25.89057333,26.35778445,26.62530096,26.96020057,26.39002532,26.41467866,26.23381887,26.23811465,26.19340747,26.17179835,26.17352128,25.7563837,27.64359383,27.68296414,27.5404417,27.06617113,27.06395808,27.44997899,27.34547091,26.5455793,26.88810459,25.39662461,25.01372787,25.01016443,24.94290595,28.37006729,26.90213292,26.92633217,29.38646143,27.02360571,28.48392577,34.09439011,34.01994076,33.82734484,33.87381844
"Mauritius, Port Louis",Port Louis,Port Louis,-20.163728,57.504533,Port Louis,13.58079454,13.31300754,13.75048278,13.69575964,15.64918277,16.26238013,17.81755422,17.41338564,17.18654378,17.07364045,16.22168244,16.52913738,17.13406272,16.65314029,17.47940221,17.6256359,17.44384123,17.9445365,17.46072588,18.60016498,18.70169424,18.43296279,20.60700925,20.78683413,23.47234884,24.7804943,24.32613363,24.11628061,28.70164269,28.55817936,29.06232217,28.35306246,23.66284861,21.59996571,23.19843963,23.76511356,24.38735237,26.02601949,25.52493409,25.76810632,28.90488945,25.15430911,30.5269891,31.21921543,31.27847982,31.19217064,30.53539965,30.58245923,31.03274861,30.82683771,31.27773923,31.07228598,32.77280328,31.12016344,31.14073319,32.86921427,33.50585413,34.74449512,33.78790422
"Mexico, Lazaro Cardenas",Lazaro Cardenas,Lazaro Cardenas,17.959774,-102.198535,Lazaro Cardenas,10.23689487,10.61347659,11.6350658,11.70171039,11.61392028,14.93468073,14.96082444,14.86075329,15.1706109,15.15561839,16.50293595,19.62378961,18.99763934,18.76270825,18.21958123,18.41463782,18.56459667,21.43521371,21.70770695,21.71368947,22.45150426,22.84128147,22.15768773,22.24857755,23.73976799,23.0780248,24.26732987,24.26766877,23.31796118,24.26332424,24.63764642,24.08566107,23.72526871,24.71301297,24.30187505,24.64517167,24.60072248,24.55046262,25.17158275,31.91126261,32.07741046,32.10685821,32.24886726,32.06612162,32.39045709,31.71613971,31.53684165,31.55158803,31.61558621,31.99956945,32.05452785,32.4680045,32.28797488,32.2765459,32.26966029,34.71484303,34.38098642,34.393302,33.76383379
"Croatia, Rijeka",Rijeka,Rijeka,45.327112,14.441356,Rijeka,9.907344194,10.28383119,10.65029989,10.58905941,11.15575918,12.05372549,11.0569439,11.44814009,14.10723288,13.37793391,13.5932065,14.11873208,13.41184841,7.168642455,6.889419122,15.82850987,16.24133948,16.23228076,17.24398733,17.85927437,17.8434374,17.6320876,16.74048883,17.1655952,17.09941551,18.33910738,18.02839508,18.01492095,18.15972565,18.18450587,19.26159423,19.28280649,19.25732188,20.5207903,20.52795287,19.58613645,21.84779203,22.46184705,22.23474892,26.13995598,26.22622038,26.28568476,25.76562776,29.66335746,29.14437067,29.90259094,30.9480275,29.21010007,29.2363686,29.39196777,29.38660584,29.28255508,29.3327749,33.45841888,33.42019307,33.42277047,33.24379236,33.05011312,33.76302429
"Italy, Trieste",Trieste,Trieste,45.650034,13.770656,Trieste,11.38967805,9.888640813,10.24560299,10.35769524,10.06300287,11.28871338,10.29858183,10.30452529,13.19909493,13.53959859,13.19092372,16.73008993,16.65190818,16.86137046,16.75393223,16.45024491,16.98706005,16.51247407,17.78673475,18.20517767,18.40109159,18.18775201,18.08034969,18.8250718,18.42660305,19.78680886,19.78151894,19.46132482,18.92701528,18.92902438,20.22344264,20.19194844,20.2218783,20.73901555,21.11309324,21.16594151,23.42621734,23.70981931,23.61520432,26.86873026,26.68254951,26.63754922,26.21178308,29.7732095,30.09573529,30.23445045,31.717433,29.68209148,29.6998511,30.01184888,29.95103365,29.51080183,29.57755513,33.9076312,34.44287212,33.8573279,33.67300663,33.48127352,33.66663149
"Chile, San Antonio (CL)",San Antonio (CL),San Antonio ,29.425173,-98.494599,San Antonio,13.23173027,14.96024412,14.45682063,14.09998524,13.26886147,13.33581338,12.15774678,12.15907243,12.89781407,15.63464011,13.35303253,13.47571473,14.71941582,14.22635165,14.21862034,13.87690499,13.87768885,15.86328647,16.52272635,16.34426471,17.64289002,20.41545575,21.06684028,25.5532396,25.00753706,25.09490929,24.88048949,24.74134054,25.0070862,24.96342591,24.77215983,24.73170199,24.58110298,24.96719555,25.02555046,24.9977772,24.70909864,26.40753734,25.8417753,26.50103006,27.06685265,27.26847563,32.91192987,33.05367581,33.06910575,33.17645679,33.462915,33.31121365,33.33734867,35.02196066,34.06168443,34.0264859,33.44369564,33.51936227,33.18309126,34.96647441,34.72894817,34.64299262,33.38695575
"Jamaica, Kingston (JM)",Kingston (JM),Kingston ,44.230468,-76.481187,Kingston,26.37783348,27.23871605,25.66762072,24.09348298,23.1489694,22.97934807,21.99221916,21.54605938,20.78811673,20.9721407,20.70578071,21.72062928,21.8069897,22.34034427,21.58026973,21.49547833,21.43238337,22.24462836,21.96897879,22.13077511,21.57524788,22.35553981,22.54127115,21.78637686,21.78321578,22.64504654,22.31611589,26.56343258,26.41051343,25.63007581,25.89652233,27.34491905,26.54042207,26.34590031,23.24334978,23.10654299,32.08624567,32.4092477,23.00937093,23.10819332,22.72676481,23.48689095,31.13367854,31.60966989,31.12959702,31.27612091,31.07597975,33.05488277,31.76740562,32.20018058,32.13223395,32.32377766,32.49545686,34.25742487,32.17652335,32.02166974,33.03785615,33.47882068,33.37578711
"Spain, Las Palmas",Las Palmas,Las Palmas,28.12878,-15.435051,Las Palmas,21.73205885,22.41451004,22.31572585,23.08174932,22.81165937,22.77554983,22.71108461,23.75761336,22.53331734,21.52256022,21.6427726,23.27123696,24.88063209,24.43845821,23.48588948,23.91633247,23.47534629,24.11993494,24.38346437,23.69937991,26.48878957,26.40466337,26.52962552,24.58661921,28.66064459,28.40309499,28.46802995,29.13833492,32.83484783,32.74726735,28.28688047,27.73361968,27.05943392,26.15081841,25.99633899,25.84465966,25.86312535,26.13286914,26.660468,28.40937329,27.58177166,27.46814664,28.02322857,27.41631868,27.4418305,27.60624986,27.7029452,30.5974238,27.66761879,27.94617665,28.18517579,28.2377031,28.5165411,29.41806861,32.30715101,30.51228881,29.59899933,29.26503664,33.08077026
"Panama, Colon",Colon,Colon,9.356085,-79.896343,Colon,12.30033027,12.50550827,13.22559385,13.28545122,14.96439019,15.69280685,15.5793058,15.94462499,15.99808486,14.64606622,12.07526945,12.02150265,12.02247136,13.32874227,12.92702791,13.00632528,12.9815659,11.36878096,13.56870765,13.41252806,13.04217926,13.04217926,13.02883314,14.47784916,14.65486802,15.32058128,13.42177359,14.31980792,14.42240433,13.77234746,12.69485114,13.23871101,14.23489414,14.16826888,14.96780971,14.49062477,13.50710645,14.50886458,14.53429504,15.02557456,14.41606942,14.36022907,25.48079806,24.32422584,24.13863073,30.92746865,31.77594983,25.50614499,25.76883547,32.89470587,31.05429974,29.80881895,29.80909564,29.86502338,31.67029953,33.19968219,33.29511687,33.06746541,32.99759845
"Iraq, Umm Qasr",Umm Qasr,Umm Qasr,30.047003,47.933896,Umm Qasr,2.957753215,2.957753215,2.042671734,1.881126134,0.795166902,3.468799802,3.468799802,3.312517377,3.312517377,3.835517488,4.309905815,3.926632982,3.920192391,3.920192391,5.027578225,4.944442364,4.944913627,4.944913627,5.313028751,5.995113296,6.00262111,5.89478148,6.911277143,6.910762244,5.024214002,5.381202989,5.327573645,5.670463706,5.891008866,5.796092263,6.159084294,6.6589928,8.708802336,8.39879479,8.247611022,8.354869709,7.753997897,7.434679961,9.779871303,9.817727886,9.817727886,10.39031986,10.48996853,10.541899,20.69464685,21.23010263,22.22732087,22.50912387,22.49087989,21.98361564,24.86434744,23.80922858,23.20524878,23.62667709,23.45739347,23.44063309,30.85027005,33.50708078,32.95180331
"Egypt, El Sokhna",El Sokhna,El Sokhna,29.90941,31.67845,El Sokhna,10.18668676,10.93722805,10.42614133,9.606543425,10.32397937,10.32758976,9.219291371,9.156612037,10.58774688,11.36611586,11.42487692,11.52251609,12.94280829,14.32526192,13.85824661,13.71323024,13.49095186,13.94014295,13.64966953,13.75732742,13.90228535,13.90256671,13.43235565,13.10592866,13.75624298,16.56788316,16.72662668,17.33188084,16.62863248,16.66686032,16.74657808,16.74074775,17.46271597,20.11527225,20.1562552,19.7922552,19.73651712,19.75391727,20.06689686,22.86630219,22.33114304,22.35935497,29.15521382,22.79162743,29.66731224,22.86228032,22.962479,23.0323969,25.74367482,31.97287889,32.17862239,31.12590633,31.35802543,30.8980383,31.52167787,31.47796327,31.50025973,31.34420448,32.71668021
"Panama, Balboa",Balboa,Balboa,42.706253,-6.922865,Balboa,14.60209105,16.0392312,16.3849463,16.60385394,16.99396817,19.70127137,19.72917492,20.10332945,20.10410148,20.43792093,22.85512846,24.5021354,22.5540237,23.05632924,24.88917273,24.72131478,24.95904014,27.20549022,27.43949869,27.49878661,27.95890428,27.91794171,28.04157023,30.79147698,32.41478286,31.70063146,30.89659217,31.18593173,31.74517387,30.92161104,30.70980981,30.54978811,30.0807144,29.42057738,30.75596829,31.49688964,31.50215689,32.45197923,31.65279513,38.09745047,38.56346448,37.97956032,36.51029297,37.25772297,37.59451439,37.52219839,37.28763705,37.41741903,37.22081188,36.40503041,31.55914932,33.43152867,33.56772098,33.63685398,37.23471516,35.24745113,33.85398505,34.01568257,32.61397126
